"app","bc","ug"
13637,"EN_3.7","NA_BG"
13637,"EN_5.6","NA_BG"
14069,"CS_03.1.3","NA_BG"
14069,"CS_03.1.4","NA_BG"
14069,"CS_03.3.4","NA_BG"
14069,"CS_03.3.6","NA_BG"
14069,"EN_3.2","NA_BG"
18189,"CS_03.1.2","NA_BG"
18189,"CS_03.1.3","NA_BG"
18189,"CS_03.1.6","NA_BG"
18189,"CS_03.1.7","NA_BG"
18189,"CS_03.2.5","NA_BG"
18189,"CS_03.3.4","NA_BG"
18672,"CS_03.2.4","NA_BG"
18672,"EN_1.5","NA_BG"
18672,"EN_5.4","NA_BG"
18700,"CS_03.2.4","NA_BG"
18700,"EN_1.1","NA_BG"
18700,"EN_1.6","NA_BG"
18700,"EN_5.4","NA_BG"
18889,"CS_03.9.5","NA_BG"
18889,"CS_03.9.6","NA_BG"
18889,"EN_1.3","NA_BG"
18889,"EN_3.1","NA_BG"
18889,"EN_5.6","NA_BG"
18895,"CS_03.9.4","NA_BG"
18960,"EN_3.1","NA_BG"
18960,"EN_3.3","NA_BG"
18967,"CS_03.6.4","NA_BG"
19540,"CO_08.12","NA_BG"
19540,"CO_08.5","NA_BG"
20058,"EN_4.1","NA_BG"
20058,"EN_4.3","NA_BG"
20058,"EN_5.7","NA_BG"
20063,"EN_3.2","NA_BG"
22099,"CO_08.2","NA_BG"
22940,"EN_1.3","NA_BG"
22940,"EN_1.4","NA_BG"
22940,"EN_5.7","NA_BG"
22949,"CS_03.8.1","NA_BG"
22949,"CS_03.8.3","NA_BG"
22949,"CS_03.8.4","NA_BG"
22954,"CS_03.8.1","NA_BG"
22954,"CS_03.8.3","NA_BG"
22954,"CS_03.8.4","NA_BG"
22965,"CS_03.7.3","NA_BG"
22965,"CS_03.8.1","NA_BG"
22967,"CS_03.7.3","NA_BG"
22967,"CS_03.8.1","NA_BG"
23288,"EN_6.4","NA_BG"
23290,"EN_1.4","NA_BG"
23292,"EN_5.7","NA_BG"
25044,"CO_03.2","NA_BG"
25044,"CO_03.3","NA_BG"
25044,"CS_03.1.3","NA_BG"
25044,"CS_03.1.4","NA_BG"
25044,"CS_03.1.6","NA_BG"
25044,"CS_03.2.1","NA_BG"
25044,"CS_03.3.1","NA_BG"
25044,"CS_03.3.4","NA_BG"
25203,"CO_02.5","NA_BG"
25205,"CO_02.2","NA_BG"
25205,"CO_02.4","NA_BG"
25233,"CS_03.9.1","NA_BG"
25233,"EN_1.3","NA_BG"
25235,"CO_02.3","NA_BG"
25235,"CO_02.4","NA_BG"
25237,"CO_02.2","NA_BG"
25237,"CO_02.3","NA_BG"
25237,"CO_02.4","NA_BG"
25237,"CO_02.5","NA_BG"
25269,"CO_02.2","NA_BG"
25269,"CO_02.3","NA_BG"
25269,"CO_02.4","NA_BG"
25269,"CO_02.5","NA_BG"
25273,"CO_02.2","NA_BG"
25273,"CO_02.3","NA_BG"
25273,"CO_02.4","NA_BG"
25273,"CO_02.5","NA_BG"
25273,"EN_5.2","NA_BG"
25275,"CO_02.4","NA_BG"
25303,"CO_02.2","NA_BG"
25303,"CO_02.3","NA_BG"
25303,"CO_02.4","NA_BG"
25303,"CO_02.5","NA_BG"
25354,"CS_03.1.3","NA_BG"
25354,"CS_03.1.4","NA_BG"
25354,"CS_03.1.5","NA_BG"
25354,"CS_03.1.7","NA_BG"
25354,"CS_03.1.9","NA_BG"
25354,"CS_03.2.4","NA_BG"
25354,"CS_03.2.5","NA_BG"
25354,"CS_03.3.1","NA_BG"
25354,"CS_03.3.6","NA_BG"
25354,"CS_03.4.1","NA_BG"
25354,"CS_03.4.2","NA_BG"
25354,"CS_03.4.3","NA_BG"
25354,"CS_03.4.4","NA_BG"
25354,"CS_03.5.1","NA_BG"
25354,"CS_03.5.2","NA_BG"
25354,"CS_03.5.3","NA_BG"
25354,"CS_03.5.4","NA_BG"
25354,"CS_03.5.5","NA_BG"
25354,"CS_03.5.6","NA_BG"
25354,"CS_03.9.1","NA_BG"
25354,"CS_03.9.4","NA_BG"
25354,"CS_03.9.5","NA_BG"
25354,"CS_03.9.7","NA_BG"
25354,"EN_3.1","NA_BG"
25354,"EN_3.3","NA_BG"
25354,"EN_3.5","NA_BG"
